epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3201.5,0.86247,1.05172,1.85651,0.4945,1,0.71847,0.51251,1.00717,0.99358,1.81692,0.000973861,0.000973861,0.000973861
44,3275,0.80615,1.02186,1.81073,0.49849,1,0.87,0.56882,1.43372,1.06537,1.8531,0.000957358,0.000957358,0.000957358
45,3343.92,0.91962,1.0849,1.74492,0.51023,1,0.84222,0.57819,1.39828,1.00109,1.8531,0.000940855,0.000940855,0.000940855
46,3416.23,0.85079,1.08708,1.6646,0.50666,1,0.71847,0.53032,1.19083,0.9716,1.79453,0.000924352,0.000924352,0.000924352
47,3486.1,0.85432,1.04524,1.74532,0.49518,1,0.71181,0.53092,1.21007,0.98703,1.88536,0.000907848,0.000907848,0.000907848
48,3555.97,0.84639,1.10451,1.93859,0.51893,1,0.84498,0.65161,1.0663,0.95597,1.88251,0.000891345,0.000891345,0.000891345
49,3626.44,0.84542,1.02474,1.7873,0.51033,1,0.77389,0.60976,0.94873,0.88815,1.84063,0.000874842,0.000874842,0.000874842
50,3696.8,0.80316,1.05523,1.69359,0.51913,0.75,0.76643,0.59384,1.25037,0.96762,1.82189,0.000858338,0.000858338,0.000858338
51,3770.35,0.812,1.0264,1.94956,0.65597,0.75,0.77175,0.59146,1.16594,0.95734,1.84994,0.000841835,0.000841835,0.000841835
52,3840.75,0.78354,0.99965,1.80048,0.71884,0.625,0.82,0.65162,1.06831,0.9922,1.8664,0.000825332,0.000825332,0.000825332
53,3917.01,0.78096,1.00346,1.70341,0.55884,0.84353,0.84238,0.72276,0.92835,0.96534,1.84298,0.000808828,0.000808828,0.000808828
54,3991,0.77597,1.02758,1.71701,0.52591,0.875,0.85095,0.67889,0.99688,0.93717,1.84144,0.000792325,0.000792325,0.000792325
55,4064.58,0.73786,0.9818,1.77907,0.61733,0.7299,0.77774,0.62038,0.98765,0.96711,1.86961,0.000775822,0.000775822,0.000775822
56,4139.03,0.76721,0.97547,1.54474,0.49244,1,0.86024,0.66452,1.00597,1.02662,1.85785,0.000759318,0.000759318,0.000759318
57,4213.28,0.69939,0.97975,2.04394,0.48737,1,0.8781,0.68173,1.07442,1.02749,1.81361,0.000742815,0.000742815,0.000742815
58,4286.11,0.79787,0.97869,1.66038,0.66988,0.9375,0.89967,0.68903,0.95407,0.90132,1.82033,0.000726312,0.000726312,0.000726312
59,4358.21,0.77447,0.97757,1.9907,0.73604,0.9205,0.89967,0.72231,0.95687,0.86685,1.85954,0.000709809,0.000709809,0.000709809
60,4431.69,0.81166,0.96142,1.72756,0.56163,0.90581,0.7963,0.58733,1.21821,0.98922,1.86928,0.000693305,0.000693305,0.000693305
61,4504.64,0.79633,0.90188,1.84132,0.57231,0.90276,0.80821,0.65858,0.97934,0.95243,1.83838,0.000676802,0.000676802,0.000676802
62,4577.28,0.74491,0.92743,1.86278,0.49397,1,0.80071,0.62369,1.11717,1.08986,1.71691,0.000660299,0.000660299,0.000660299
63,4649.33,0.74512,0.90215,1.75928,0.54072,0.96785,0.80778,0.6218,1.13672,1.0437,1.69775,0.000643795,0.000643795,0.000643795
64,4723.25,0.74322,0.87339,1.78851,0.5797,0.98628,0.80056,0.63791,0.95477,0.91806,1.78343,0.000627292,0.000627292,0.000627292
65,4796.03,0.74324,0.9026,1.89675,0.53464,1,0.80056,0.64851,1.10484,1.09784,1.73333,0.000610789,0.000610789,0.000610789
66,4872.28,0.75412,0.86988,1.73204,0.50527,1,0.81722,0.66312,1.04967,1.25081,1.74119,0.000594286,0.000594286,0.000594286
67,4945.56,0.79871,0.89559,1.84,0.53258,0.99485,0.6465,0.49544,0.91053,0.90226,1.80307,0.000577782,0.000577782,0.000577782
68,5020.37,0.72384,0.82401,1.88951,0.52534,0.9528,0.56464,0.41563,1.03451,0.99109,1.81528,0.000561279,0.000561279,0.000561279
69,5091.55,0.75251,0.79346,1.83216,0.49261,0.99126,0.56464,0.3946,1.19941,1.20131,1.81888,0.000544776,0.000544776,0.000544776
70,5163.53,0.82494,0.84245,1.92828,0.48748,0.98242,0.55689,0.43578,0.91615,1.38963,1.8122,0.000528272,0.000528272,0.000528272
71,5239.7,0.72689,0.78928,1.79062,0.48263,0.97912,0.57383,0.46404,0.78149,1.31405,1.79201,0.000511769,0.000511769,0.000511769
72,5312.04,0.80579,0.86054,1.89047,0.48055,0.972,0.74967,0.5816,1.00757,1.28566,1.74828,0.000495266,0.000495266,0.000495266
73,5386.5,0.7893,0.79869,1.72669,0.49009,0.9617,0.58467,0.43834,1.06591,1.19836,1.76289,0.000478762,0.000478762,0.000478762
74,5459.55,0.74646,0.82299,1.59791,0.51081,0.95443,0.55988,0.39947,1.03978,1.16075,1.79037,0.000462259,0.000462259,0.000462259
75,5530.97,0.64749,0.73917,1.78592,0.48263,0.98539,0.64258,0.48359,1.01166,1.52126,1.8246,0.000445756,0.000445756,0.000445756
76,5609.21,0.73468,0.91714,1.6129,0.48276,0.98327,0.58943,0.4458,0.97752,1.32974,1.70128,0.000429253,0.000429253,0.000429253
77,5681.91,0.75201,0.75497,1.79351,0.48612,0.98012,0.765,0.59448,1.02617,1.18427,1.6551,0.000412749,0.000412749,0.000412749
78,5757.63,0.71043,0.79224,1.70874,0.48582,0.9375,0.79258,0.58646,1.06921,1.26792,1.70694,0.000396246,0.000396246,0.000396246
79,5831.2,0.69432,0.79055,1.71376,0.51249,0.9375,0.80925,0.61507,0.94602,1.18324,1.78254,0.000379743,0.000379743,0.000379743
80,5904.6,0.67754,0.74989,2.19722,0.7376,0.84665,0.84988,0.71052,0.80814,0.80261,1.76319,0.000363239,0.000363239,0.000363239
81,5978.33,0.72162,0.74228,1.70999,0.72167,0.87448,0.858,0.70178,0.83955,0.733,1.78767,0.000346736,0.000346736,0.000346736
82,6051.34,0.72903,0.75754,1.65823,0.72453,0.7509,0.84238,0.67038,0.90761,1.03461,1.70995,0.000330233,0.000330233,0.000330233
83,6125.02,0.71109,0.73341,1.87543,0.49739,0.98523,0.80214,0.64713,0.88665,1.14368,1.65533,0.000313729,0.000313729,0.000313729
84,6197.23,0.68224,0.71014,1.86026,0.6662,0.75,0.80214,0.65119,0.91737,1.18175,1.6585,0.000297226,0.000297226,0.000297226
85,6270.01,0.68728,0.72154,1.89779,0.55819,0.87491,0.64982,0.49624,0.99745,1.15322,1.68007,0.000280723,0.000280723,0.000280723
86,6343.5,0.64322,0.6786,1.90924,0.57267,0.83412,0.66173,0.51129,1.0613,1.22789,1.71298,0.00026422,0.00026422,0.00026422
87,6415.62,0.61077,0.71039,1.86098,0.62159,0.87088,0.81143,0.6396,1.00425,1.12301,1.7137,0.000247716,0.000247716,0.000247716
88,6490.53,0.70082,0.66185,1.82735,0.56577,0.88271,0.82,0.66221,0.90097,0.97496,1.70651,0.000231213,0.000231213,0.000231213
89,6567.47,0.6489,0.61459,1.86003,0.66124,0.84044,0.845,0.67445,0.917,0.98438,1.70695,0.00021471,0.00021471,0.00021471
90,6641.19,0.63402,0.60947,1.81311,0.65928,0.80558,0.81143,0.64801,0.90377,1.11612,1.70835,0.000198206,0.000198206,0.000198206
91,6712.94,0.67244,0.63895,1.83549,0.56842,0.92409,0.81737,0.6657,0.87514,1.04535,1.71463,0.000181703,0.000181703,0.000181703
92,6785.79,0.65388,0.63657,1.97461,0.64206,0.875,0.82488,0.66991,0.84342,0.91443,1.73782,0.0001652,0.0001652,0.0001652
93,6858.89,0.64333,0.63239,2.35702,0.60475,0.90171,0.81737,0.67725,0.8313,0.89353,1.73419,0.000148696,0.000148696,0.000148696
94,6947.22,0.67808,0.62104,1.90801,0.53346,0.9375,0.80925,0.66909,0.85375,0.98011,1.72078,0.000132193,0.000132193,0.000132193
95,7022.84,0.66183,0.55601,1.64408,0.6733,0.75,0.80214,0.66506,0.85343,1.12822,1.71383,0.00011569,0.00011569,0.00011569
96,7096.67,0.6466,0.58506,1.99792,0.67994,0.75,0.80214,0.65926,0.86157,1.23796,1.71694,9.91865e-05,9.91865e-05,9.91865e-05
97,7178.34,0.66092,0.68595,1.74897,0.69998,0.81135,0.81143,0.66801,0.85395,1.18537,1.71861,8.26832e-05,8.26832e-05,8.26832e-05
98,7247.32,0.64271,0.56818,1.63708,0.62138,0.84063,0.81143,0.66803,0.82767,1.12195,1.7166,6.61799e-05,6.61799e-05,6.61799e-05
99,7332.37,0.59571,0.58266,1.68258,0.58467,0.87337,0.79476,0.65396,0.81549,1.09947,1.71138,4.96766e-05,4.96766e-05,4.96766e-05
100,7418.67,0.62616,0.6353,1.65462,0.53435,0.9023,0.79476,0.65889,0.78918,1.08861,1.70324,3.31733e-05,3.31733e-05,3.31733e-05
